method,seed,well,probe,level,S_mean,S_sd,n,R
gnn,1,W08,colog,0.5,0.589368,0.114065,810,30
gnn,1,W08,neighbor,0.05,0.064175,0.021424,810,30
gnn,1,W08,neighbor,0.1,0.064113,0.021224,810,30
gnn,1,W08,neighbor,0.25,0.064150,0.021197,810,30
gnn,1,W08,neighbor,0.5,0.064042,0.021177,810,30
gnn,1,W09,colog,0.05,0.511049,0.117093,510,30
gnn,1,W09,colog,0.1,0.511399,0.118171,510,30
gnn,1,W09,colog,0.25,0.512861,0.115448,510,30
gnn,1,W09,colog,0.5,0.515430,0.111177,510,30
gnn,1,W09,neighbor,0.05,0.058885,0.026771,510,30
gnn,1,W09,neighbor,0.1,0.059115,0.027005,510,30
gnn,1,W09,neighbor,0.25,0.059450,0.026055,510,30
gnn,1,W09,neighbor,0.5,0.059778,0.023581,510,30
gnn,2,W01,colog,0.05,0.522278,0.139369,7110,30
gnn,2,W01,colog,0.1,0.522406,0.138892,7110,30
gnn,2,W01,colog,0.25,0.522044,0.136651,7110,30
gnn,2,W01,colog,0.5,0.520155,0.130239,7110,30
gnn,2,W01,neighbor,0.05,0.059759,0.041333,6900,30
gnn,2,W01,neighbor,0.1,0.059688,0.041113,6900,30
gnn,2,W01,neighbor,0.25,0.059829,0.040876,6900,30
gnn,2,W01,neighbor,0.5,0.060001,0.040140,6900,30
gnn,2,W04,colog,0.05,0.558788,0.089157,4530,30
gnn,2,W04,colog,0.1,0.558568,0.088159,4530,30
gnn,2,W04,colog,0.25,0.556258,0.086178,4530,30
gnn,2,W04,colog,0.5,0.549555,0.078108,4530,30
gnn,2,W04,neighbor,0.05,0.049470,0.023246,4530,30
gnn,2,W04,neighbor,0.1,0.049517,0.022950,4530,30
gnn,2,W04,neighbor,0.25,0.050329,0.022375,4530,30
gnn,2,W04,neighbor,0.5,0.052556,0.020999,4530,30
gnn,2,W02,colog,0.05,0.604759,0.093635,2040,30
gnn,2,W02,colog,0.1,0.604371,0.093103,2040,30
gnn,2,W02,colog,0.25,0.601156,0.092015,2040,30
gnn,2,W02,colog,0.5,0.589887,0.086612,2040,30
gnn,2,W02,neighbor,0.05,0.050185,0.023801,2040,30
gnn,2,W02,neighbor,0.1,0.050203,0.023875,2040,30
gnn,2,W02,neighbor,0.25,0.050646,0.024405,2040,30
gnn,2,W02,neighbor,0.5,0.051968,0.026027,2040,30
gnn,2,W03,colog,0.05,0.592066,0.085840,1740,30
gnn,2,W03,colog,0.1,0.591368,0.086569,1740,30
gnn,2,W03,colog,0.25,0.589850,0.084418,1740,30
gnn,2,W03,colog,0.5,0.580637,0.081027,1740,30
gnn,2,W03,neighbor,0.05,0.045921,0.018394,1740,30
gnn,2,W03,neighbor,0.1,0.045829,0.018375,1740,30
gnn,2,W03,neighbor,0.25,0.046172,0.018732,1740,30
gnn,2,W03,neighbor,0.5,0.046863,0.019934,1740,30
gnn,2,W10,colog,0.05,0.545411,0.122735,1680,30
gnn,2,W10,colog,0.1,0.544820,0.123401,1680,30
gnn,2,W10,colog,0.25,0.545068,0.120752,1680,30
gnn,2,W10,colog,0.5,0.539976,0.115523,1680,30
gnn,2,W10,neighbor,0.05,0.053556,0.022562,1680,30
gnn,2,W10,neighbor,0.1,0.053554,0.022333,1680,30
gnn,2,W10,neighbor,0.25,0.053646,0.021989,1680,30
gnn,2,W10,neighbor,0.5,0.053543,0.020124,1680,30
gnn,2,W06,colog,0.05,0.531703,0.120665,1500,30
gnn,2,W06,colog,0.1,0.532290,0.120257,1500,30
gnn,2,W06,colog,0.25,0.531276,0.118380,1500,30
gnn,2,W06,colog,0.5,0.525355,0.110760,1500,30
gnn,2,W06,neighbor,0.05,0.042198,0.015214,1500,30
gnn,2,W06,neighbor,0.1,0.042331,0.015239,1500,30
gnn,2,W06,neighbor,0.25,0.042887,0.014976,1500,30
gnn,2,W06,neighbor,0.5,0.044522,0.014402,1500,30
gnn,2,W08,colog,0.05,0.602938,0.101025,810,30
gnn,2,W08,colog,0.1,0.603030,0.100593,810,30
gnn,2,W08,colog,0.25,0.600876,0.098567,810,30
gnn,2,W08,colog,0.5,0.593519,0.097093,810,30
gnn,2,W08,neighbor,0.05,0.063112,0.015544,810,30
gnn,2,W08,neighbor,0.1,0.062971,0.015101,810,30
gnn,2,W08,neighbor,0.25,0.061982,0.014695,810,30
gnn,2,W08,neighbor,0.5,0.060092,0.013421,810,30
gnn,2,W09,colog,0.05,0.519161,0.096881,510,30
gnn,2,W09,colog,0.1,0.520518,0.096176,510,30
gnn,2,W09,colog,0.25,0.520797,0.096982,510,30
gnn,2,W09,colog,0.5,0.519083,0.094194,510,30
gnn,2,W09,neighbor,0.05,0.057381,0.017057,510,30
gnn,2,W09,neighbor,0.1,0.057433,0.017386,510,30
gnn,2,W09,neighbor,0.25,0.057159,0.016928,510,30
gnn,2,W09,neighbor,0.5,0.057047,0.015614,510,30
locf,0,W01,colog,0.05,0.000000,0.000000,7110,30
locf,0,W01,colog,0.1,0.000000,0.000000,7110,30
locf,0,W01,colog,0.25,0.000000,0.000000,7110,30
locf,0,W01,colog,0.5,0.000000,0.000000,7110,30
locf,0,W04,colog,0.05,0.000000,0.000000,4530,30
locf,0,W04,colog,0.1,0.000000,0.000000,4530,30
locf,0,W04,colog,0.25,0.000000,0.000000,4530,30
locf,0,W04,colog,0.5,0.000000,0.000000,4530,30
locf,0,W02,colog,0.05,0.000000,0.000000,2040,30
locf,0,W02,colog,0.1,0.000000,0.000000,2040,30
locf,0,W02,colog,0.25,0.000000,0.000000,2040,30
locf,0,W02,colog,0.5,0.000000,0.000000,2040,30
locf,0,W03,colog,0.05,0.000000,0.000000,1740,30
locf,0,W03,colog,0.1,0.000000,0.000000,1740,30
locf,0,W03,colog,0.25,0.000000,0.000000,1740,30
locf,0,W03,colog,0.5,0.000000,0.000000,1740,30
locf,0,W10,colog,0.05,0.000000,0.000000,1680,30
locf,0,W10,colog,0.1,0.000000,0.000000,1680,30
locf,0,W10,colog,0.25,0.000000,0.000000,1680,30
locf,0,W10,colog,0.5,0.000000,0.000000,1680,30
locf,0,W06,colog,0.05,0.000000,0.000000,1500,30
locf,0,W06,colog,0.1,0.000000,0.000000,1500,30
locf,0,W06,colog,0.25,0.000000,0.000000,1500,30
locf,0,W06,colog,0.5,0.000000,0.000000,1500,30
locf,0,W08,colog,0.05,0.000000,0.000000,810,30
locf,0,W08,colog,0.1,0.000000,0.000000,810,30
locf,0,W08,colog,0.25,0.000000,0.000000,810,30
locf,0,W08,colog,0.5,0.000000,0.000000,810,30
locf,0,W09,colog,0.05,0.000000,0.000000,510,30
locf,0,W09,colog,0.1,0.000000,0.000000,510,30
locf,0,W09,colog,0.25,0.000000,0.000000,510,30
locf,0,W09,colog,0.5,0.000000,0.000000,510,30
locf,1,W01,colog,0.05,0.000000,0.000000,7110,30
locf,1,W01,colog,0.1,0.000000,0.000000,7110,30
locf,1,W01,colog,0.25,0.000000,0.000000,7110,30
locf,1,W01,colog,0.5,0.000000,0.000000,7110,30
locf,1,W04,colog,0.05,0.000000,0.000000,4530,30
locf,1,W04,colog,0.1,0.000000,0.000000,4530,30
locf,1,W04,colog,0.25,0.000000,0.000000,4530,30
locf,1,W04,colog,0.5,0.000000,0.000000,4530,30
locf,1,W02,colog,0.05,0.000000,0.000000,2040,30
locf,1,W02,colog,0.1,0.000000,0.000000,2040,30
locf,1,W02,colog,0.25,0.000000,0.000000,2040,30
locf,1,W02,colog,0.5,0.000000,0.000000,2040,30
locf,1,W03,colog,0.05,0.000000,0.000000,1740,30
locf,1,W03,colog,0.1,0.000000,0.000000,1740,30
locf,1,W03,colog,0.25,0.000000,0.000000,1740,30
locf,1,W03,colog,0.5,0.000000,0.000000,1740,30
locf,1,W10,colog,0.05,0.000000,0.000000,1680,30
locf,1,W10,colog,0.1,0.000000,0.000000,1680,30
locf,1,W10,colog,0.25,0.000000,0.000000,1680,30
locf,1,W10,colog,0.5,0.000000,0.000000,1680,30
locf,1,W06,colog,0.05,0.000000,0.000000,1500,30
locf,1,W06,colog,0.1,0.000000,0.000000,1500,30
locf,1,W06,colog,0.25,0.000000,0.000000,1500,30
locf,1,W06,colog,0.5,0.000000,0.000000,1500,30
locf,1,W08,colog,0.05,0.000000,0.000000,810,30
locf,1,W08,colog,0.1,0.000000,0.000000,810,30
locf,1,W08,colog,0.25,0.000000,0.000000,810,30
locf,1,W08,colog,0.5,0.000000,0.000000,810,30
locf,1,W09,colog,0.05,0.000000,0.000000,510,30
locf,1,W09,colog,0.1,0.000000,0.000000,510,30
locf,1,W09,colog,0.25,0.000000,0.000000,510,30
locf,1,W09,colog,0.5,0.000000,0.000000,510,30
locf,2,W01,colog,0.05,0.000000,0.000000,7110,30
locf,2,W01,colog,0.1,0.000000,0.000000,7110,30
locf,2,W01,colog,0.25,0.000000,0.000000,7110,30
locf,2,W01,colog,0.5,0.000000,0.000000,7110,30
locf,2,W04,colog,0.05,0.000000,0.000000,4530,30
locf,2,W04,colog,0.1,0.000000,0.000000,4530,30
locf,2,W04,colog,0.25,0.000000,0.000000,4530,30
locf,2,W04,colog,0.5,0.000000,0.000000,4530,30
locf,2,W02,colog,0.05,0.000000,0.000000,2040,30
locf,2,W02,colog,0.1,0.000000,0.000000,2040,30
locf,2,W02,colog,0.25,0.000000,0.000000,2040,30
locf,2,W02,colog,0.5,0.000000,0.000000,2040,30
locf,2,W03,colog,0.05,0.000000,0.000000,1740,30
locf,2,W03,colog,0.1,0.000000,0.000000,1740,30
locf,2,W03,colog,0.25,0.000000,0.000000,1740,30
locf,2,W03,colog,0.5,0.000000,0.000000,1740,30
locf,2,W10,colog,0.05,0.000000,0.000000,1680,30
locf,2,W10,colog,0.1,0.000000,0.000000,1680,30
locf,2,W10,colog,0.25,0.000000,0.000000,1680,30
locf,2,W10,colog,0.5,0.000000,0.000000,1680,30
locf,2,W06,colog,0.05,0.000000,0.000000,1500,30
locf,2,W06,colog,0.1,0.000000,0.000000,1500,30
locf,2,W06,colog,0.25,0.000000,0.000000,1500,30
locf,2,W06,colog,0.5,0.000000,0.000000,1500,30
locf,2,W08,colog,0.05,0.000000,0.000000,810,30
locf,2,W08,colog,0.1,0.000000,0.000000,810,30
locf,2,W08,colog,0.25,0.000000,0.000000,810,30
locf,2,W08,colog,0.5,0.000000,0.000000,810,30
locf,2,W09,colog,0.05,0.000000,0.000000,510,30
locf,2,W09,colog,0.1,0.000000,0.000000,510,30
locf,2,W09,colog,0.25,0.000000,0.000000,510,30
locf,2,W09,colog,0.5,0.000000,0.000000,510,30
mean,0,W01,colog,0.05,0.000000,0.000000,7110,30
mean,0,W01,colog,0.1,0.000000,0.000000,7110,30
mean,0,W01,colog,0.25,0.000000,0.000000,7110,30
mean,0,W01,colog,0.5,0.000000,0.000000,7110,30
mean,0,W04,colog,0.05,0.000000,0.000000,4530,30
mean,0,W04,colog,0.1,0.000000,0.000000,4530,30
mean,0,W04,colog,0.25,0.000000,0.000000,4530,30
mean,0,W04,colog,0.5,0.000000,0.000000,4530,30
mean,0,W02,colog,0.05,0.000000,0.000000,2040,30
mean,0,W02,colog,0.1,0.000000,0.000000,2040,30
mean,0,W02,colog,0.25,0.000000,0.000000,2040,30
mean,0,W02,colog,0.5,0.000000,0.000000,2040,30
mean,0,W03,colog,0.05,0.000000,0.000000,1740,30
mean,0,W03,colog,0.1,0.000000,0.000000,1740,30
mean,0,W03,colog,0.25,0.000000,0.000000,1740,30
mean,0,W03,colog,0.5,0.000000,0.000000,1740,30
mean,0,W10,colog,0.05,0.000000,0.000000,1680,30
mean,0,W10,colog,0.1,0.000000,0.000000,1680,30
mean,0,W10,colog,0.25,0.000000,0.000000,1680,30
mean,0,W10,colog,0.5,0.000000,0.000000,1680,30
mean,0,W06,colog,0.05,0.000000,0.000000,1500,30
mean,0,W06,colog,0.1,0.000000,0.000000,1500,30
mean,0,W06,colog,0.25,0.000000,0.000000,1500,30
mean,0,W06,colog,0.5,0.000000,0.000000,1500,30
mean,0,W08,colog,0.05,0.000000,0.000000,810,30
mean,0,W08,colog,0.1,0.000000,0.000000,810,30
mean,0,W08,colog,0.25,0.000000,0.000000,810,30
