well,regime,L,method,seed,log,r2,mae,rmse,n
W01,blackout-long,1536,ae,1,NPHI,0.3185,0.0571,0.0691,1536
W01,blackout-long,1536,ae,1,all,0.9949,0.0715,0.0859,3072
W01,blackout-long,1536,ae,1,all_z,0.3029,0.5271,0.6266,3072
W01,blackout-long,2048,ae,1,RHOB,-2.1290,0.0975,0.1120,2048
W01,blackout-long,2048,ae,1,NPHI,0.1291,0.0612,0.0744,2048
W01,blackout-long,2048,ae,1,all,0.9938,0.0793,0.0951,4096
W01,blackout-long,2048,ae,1,all_z,0.2222,0.5806,0.6872,4096
W04,profile-long,256,ae,1,GR,-2.6222,8.7171,10.5872,256
W04,profile-long,256,ae,1,RHOB,-1.6089,0.0594,0.0706,256
W04,profile-long,256,ae,1,NPHI,-0.4754,0.0279,0.0345,256
W04,profile-long,256,ae,1,all,0.6580,2.9348,6.1127,768
W04,profile-long,256,ae,1,all_z,0.6642,0.3051,0.3777,768
W04,profile-long,384,ae,1,GR,-0.3593,8.9690,12.4801,384
W04,profile-long,384,ae,1,RHOB,-1.1564,0.0803,0.0956,384
W04,profile-long,384,ae,1,NPHI,0.1879,0.0410,0.0546,384
W04,profile-long,384,ae,1,all,0.7186,3.0301,7.2057,1152
W04,profile-long,384,ae,1,all_z,0.4187,0.3983,0.5260,1152
W04,profile-long,512,ae,1,GR,-1.7040,13.9894,18.2827,512
W04,profile-long,512,ae,1,RHOB,0.2586,0.0600,0.0839,512
W04,profile-long,512,ae,1,NPHI,0.3764,0.0483,0.0676,512
W04,profile-long,512,ae,1,all,0.4443,4.6992,10.5557,1536
W04,profile-long,512,ae,1,all_z,0.3917,0.4219,0.5842,1536
W04,profile-long,768,ae,1,GR,-2.6446,15.7969,20.2574,768
W04,profile-long,768,ae,1,RHOB,0.1871,0.0641,0.0937,768
W04,profile-long,768,ae,1,NPHI,0.2452,0.0610,0.0820,768
W04,profile-long,768,ae,1,all,0.3323,5.3073,11.6958,2304
W04,profile-long,768,ae,1,all_z,0.2295,0.4898,0.6772,2304
W04,profile-long,1024,ae,1,GR,-1.2154,15.6491,19.8071,1024
W04,profile-long,1024,ae,1,RHOB,0.5791,0.0735,0.0980,1024
W04,profile-long,1024,ae,1,NPHI,0.3015,0.0628,0.0824,1024
W04,profile-long,1024,ae,1,all,0.4816,5.2618,11.4359,3072
W04,profile-long,1024,ae,1,all_z,0.3936,0.5157,0.6848,3072
W04,profile-long,1536,ae,1,GR,-0.5422,15.0790,18.9139,1536
W04,profile-long,1536,ae,1,RHOB,0.5740,0.0794,0.1063,1536
W04,profile-long,1536,ae,1,NPHI,0.3491,0.0640,0.0828,1536
W04,profile-long,1536,ae,1,all,0.6356,5.0741,10.9202,4608
W04,profile-long,1536,ae,1,all_z,0.4625,0.5279,0.6991,4608
W04,profile-long,2048,ae,1,GR,-0.0470,16.6009,20.3432,2048
W04,profile-long,2048,ae,1,RHOB,0.4669,0.0895,0.1180,2048
W04,profile-long,2048,ae,1,NPHI,0.3898,0.0676,0.0850,2048
W04,profile-long,2048,ae,1,all,0.7047,5.5860,11.7455,6144
W04,profile-long,2048,ae,1,all_z,0.5016,0.5766,0.7449,6144
W04,blackout-long,256,ae,1,RHOB,-1.4899,0.0574,0.0689,256
W04,blackout-long,256,ae,1,NPHI,-1.5712,0.0374,0.0455,256
W04,blackout-long,256,ae,1,all,0.9978,0.0474,0.0584,512
W04,blackout-long,256,ae,1,all_z,0.5499,0.3820,0.4619,512
W04,blackout-long,384,ae,1,RHOB,-1.6137,0.0901,0.1052,384
W04,blackout-long,384,ae,1,NPHI,-1.0890,0.0707,0.0875,384
W04,blackout-long,384,ae,1,all,0.9938,0.0804,0.0968,768
W04,blackout-long,384,ae,1,all_z,-0.1505,0.6600,0.8003,768
W04,blackout-long,512,ae,1,RHOB,0.0276,0.0748,0.0961,512
W04,blackout-long,512,ae,1,NPHI,0.1025,0.0588,0.0811,512
W04,blackout-long,512,ae,1,all,0.9946,0.0668,0.0889,1024
W04,blackout-long,512,ae,1,all_z,0.2110,0.5486,0.7375,1024
W04,blackout-long,768,ae,1,RHOB,0.1224,0.0729,0.0974,768
W04,blackout-long,768,ae,1,NPHI,0.0540,0.0693,0.0918,768
W04,blackout-long,768,ae,1,all,0.9937,0.0711,0.0946,1536
W04,blackout-long,768,ae,1,all_z,0.1320,0.5946,0.8019,1536
W04,blackout-long,1024,ae,1,RHOB,0.1800,0.1001,0.1367,1024
W04,blackout-long,1024,ae,1,NPHI,-0.0714,0.0771,0.1021,1024
W04,blackout-long,1024,ae,1,all,0.9891,0.0886,0.1207,2048
W04,blackout-long,1024,ae,1,all_z,0.0649,0.7260,0.9769,2048
W04,blackout-long,1536,ae,1,RHOB,-0.3775,0.1391,0.1912,1536
W04,blackout-long,1536,ae,1,NPHI,-0.5917,0.1024,0.1295,1536
W04,blackout-long,1536,ae,1,all,0.9792,0.1208,0.1633,3072
W04,blackout-long,1536,ae,1,all_z,-0.3599,0.9853,1.2973,3072
W04,blackout-long,2048,ae,1,RHOB,-0.6162,0.1573,0.2055,2048
W04,blackout-long,2048,ae,1,NPHI,-0.7057,0.1156,0.1421,2048
W04,blackout-long,2048,ae,1,all,0.9743,0.1365,0.1767,4096
W04,blackout-long,2048,ae,1,all_z,-0.3170,1.1132,1.4097,4096
W01,profile-long,256,ae,2,GR,0.0856,22.3045,24.6939,256
W01,profile-long,256,ae,2,RHOB,-0.1346,0.0312,0.0388,256
W01,profile-long,256,ae,2,NPHI,0.5307,0.0461,0.0545,256
