seed,method,scenario,fold,log,mae,rmse,r2,cc,n
4,brits,profile,14,NPHI,0.10294748525484465,0.10710189366317885,-7.168224280152053,0.755973411463708,512
4,brits,blackout,14,all,8.258190647223103,16.055892877643096,-0.6244471066843975,0.8816147158329168,4760
4,brits,blackout,14,GR,26.271623013797154,28.755030763837464,-6.656029587076347,0.09140652695640046,1484
4,brits,blackout,14,RHOB,0.10449174175537697,0.11779623158798518,-0.8673907640437633,0.4370862876365644,1871
4,brits,blackout,14,NPHI,0.08996076831507938,0.10140958645065604,-3.089660394258959,0.2450905659733156,1405
4,brits,single,15,all,0.43472304730503647,2.1702039914081412,0.9902562246283341,0.9954372670480809,135
4,brits,single,15,GR,1.2976314544677734,3.758895185310907,0.9756904474473,0.9890477644355693,45
4,brits,single,15,RHOB,0.0041657030582427975,0.00744572383769446,0.9945075511425004,0.9973008772346381,40
4,brits,single,15,NPHI,0.002551356256008148,0.003524186912530438,0.9981967259026403,0.9993174999392875,50
4,brits,block,15,all,9.21797356369072,17.009703153034625,0.673132464484202,0.8294228348683417,1900
4,brits,block,15,GR,20.75563129697527,25.581746335504384,0.009478533160218405,0.23366311197635833,840
4,brits,block,15,RHOB,0.10695869014376685,0.12924464231934493,0.011182839042031545,0.2698440759233667,420
4,brits,block,15,NPHI,0.053901299519930036,0.060731690407922534,0.05055318431257749,0.7264033465944829,640
4,brits,profile,15,all,8.63508400764894,17.437119435148823,0.5382084101307478,0.775678258514378,6912
4,brits,profile,15,GR,25.693074512812828,30.201456836664452,-0.21212510662579165,-0.18777286602660723,2304
4,brits,profile,15,RHOB,0.11375035954018434,0.13279124935564965,-1.1381257374595033,-0.49092076671722046,3840
4,brits,profile,15,NPHI,0.06778073270106688,0.07781394834959376,0.2425104533022342,0.8787745948013252,768
4,brits,blackout,15,all,8.710159198832233,16.90581791552362,0.40715271521686514,0.7936750591864353,9517
4,brits,blackout,15,GR,24.151922100137593,28.238429978130515,-0.3804495748590859,0.47631594644192254,3411
