method,scenario,log,seed,mae,rmse,r2,cc,n
ae,profile,RHOB,1,0.08795855661240402,0.12263941989103547,0.3403761489612428,0.615545403113609,66816
ae,profile,NPHI,1,0.06353098391033388,0.08136943359284014,0.3833270866825297,0.6561938714306508,74240
ae,blackout,all,1,7.386447208340145,16.28834659381699,0.746900735205209,0.8660482785804693,278822
ae,blackout,GR,1,20.361146420439127,27.13310193535642,0.42990508923215554,0.668950893285128,100478
ae,blackout,RHOB,1,0.09072434561347212,0.12319452940547045,0.38250063587598515,0.6362905399405017,84464
ae,blackout,NPHI,1,0.06384504008347754,0.08128026094193622,0.3601245297315062,0.6234449069400073,93880
brits,single,all,1,0.39400662044032797,1.0744722471479566,0.998750228581229,0.9993986872786733,3981
brits,single,GR,1,1.308062681151521,1.9676489309532506,0.9966389745674331,0.9984180838251349,1187
brits,single,RHOB,1,0.0069054776033994035,0.014641079998968244,0.9919022047083672,0.9961325518821049,1294
brits,single,NPHI,1,0.004622843618194262,0.008575394141613355,0.9932618841214067,0.9966956996019982,1500
brits,block,all,1,8.327217318110531,18.150424222979336,0.6645425885895551,0.8203625385104634,48360
brits,block,GR,1,25.672012277071833,31.977188279502172,0.1897581715901947,0.49547974599762223,15580
brits,block,RHOB,1,0.11223450716092526,0.15147880676488645,0.14005278434214063,0.39025211183722924,14980
brits,block,NPHI,1,0.05915760167277931,0.07150287098332528,0.5105000908318478,0.8011838866700667,17800
brits,profile,all,1,9.778553890682325,20.46370370824514,0.5499737590430716,0.7621362803440539,205312
brits,profile,GR,1,31.028244725291234,36.578733226596356,-0.08282831906118848,0.03649285742653885,64256
brits,profile,RHOB,1,0.12631676249184656,0.16297731519359349,-0.1649049587441731,-0.34285781133270676,66816
brits,profile,NPHI,1,0.07359351471983748,0.08698963337125191,0.29519773995636367,0.7288548254468161,74240
brits,blackout,all,1,10.415932011915745,20.94972995020244,0.5813088916628828,0.7656138148623499,278822
brits,blackout,GR,1,28.7367452574079,34.89808520707155,0.056913629164833335,0.2651268661790075,100478
brits,blackout,RHOB,1,0.11392190752098971,0.1523494871336448,0.05564417821504819,0.2652452818432155,84464
brits,blackout,NPHI,1,0.07624632994980446,0.09100654244632632,0.1978224325608483,0.5054915654473843,93880
gnn,single,all,1,6.333697882184281,14.640910679855649,0.7679527821139883,0.884722397985478,3981
gnn,single,GR,1,21.074139696772647,26.812174216568952,0.37591946652487496,0.6716587359857934,1187
gnn,single,RHOB,1,0.08411437125626083,0.1161612656765958,0.4902664287352442,0.7041973498814986,1294
gnn,single,NPHI,1,0.06040230166725814,0.07837535009129003,0.43715439056225114,0.6775396878875435,1500
gnn,block,all,1,7.0529998357681585,15.65016263261378,0.7505970758103916,0.872588579790719,48360
gnn,block,GR,1,21.748750947328077,27.57229943620606,0.3976067674402852,0.6757551566323393,15580
gnn,block,RHOB,1,0.08011880756538604,0.11239062875821906,0.5266000088106674,0.7290908596036997,14980
gnn,block,NPHI,1,0.058278233766696975,0.07466182217222346,0.46629309015381204,0.7032273313420656,17800
gnn,profile,all,1,7.14022717452363,16.150626464987145,0.7196838591133303,0.8584253486788406,205312
gnn,profile,GR,1,22.66222708093926,28.869196883057878,0.32551594444960663,0.6377959283821198,64256
