seed,method,scenario,fold,log,r2,mae
0,brits,block,2,GR,-1.904399,18.035139
0,brits,block,2,NPHI,-0.276372,0.072376
0,brits,block,2,RHOB,-0.160468,0.121590
0,brits,block,2,all,0.883878,7.090658
0,brits,block,3,GR,-1.162112,30.567572
0,brits,block,3,NPHI,0.476821,0.050359
0,brits,block,3,RHOB,-0.330147,0.112327
0,brits,block,3,all,0.072507,9.644201
0,brits,block,4,GR,0.135011,28.068552
0,brits,block,4,NPHI,0.489271,0.057248
0,brits,block,4,RHOB,0.165074,0.107588
0,brits,block,4,all,0.720368,7.558705
0,brits,block,5,GR,-0.400709,25.249357
0,brits,block,5,NPHI,0.481539,0.055148
0,brits,block,5,RHOB,0.030521,0.122034
0,brits,block,5,all,0.469315,7.545018
0,brits,block,6,GR,-6.877199,14.656058
0,brits,block,6,NPHI,-6.494174,0.107266
0,brits,block,6,RHOB,-1.528207,0.115750
0,brits,block,6,all,0.728806,6.824269
0,brits,block,7,GR,-24.942789,37.074299
0,brits,block,7,NPHI,-0.391049,0.074671
0,brits,block,7,RHOB,-0.972045,0.112237
0,brits,block,7,all,-8.717443,17.610697
0,brits,block,8,GR,-0.313328,49.514259
0,brits,block,8,NPHI,-1.065274,0.051778
0,brits,block,8,RHOB,-1.004122,0.114557
0,brits,block,8,all,0.581458,21.785387
0,brits,block,9,GR,0.162222,26.306358
0,brits,block,9,NPHI,0.562420,0.044496
0,brits,block,9,RHOB,-0.131695,0.132543
0,brits,block,9,all,0.669718,10.486008
0,brits,block,10,GR,0.326732,32.054874
0,brits,block,10,NPHI,0.448466,0.080149
0,brits,block,10,RHOB,0.074409,0.110646
0,brits,block,10,all,0.648399,11.377455
0,brits,block,11,GR,-59.634350,39.947731
0,brits,block,11,NPHI,-0.026887,0.037831
0,brits,block,11,RHOB,0.250486,0.065311
0,brits,block,11,all,-23.882105,18.004845
0,brits,block,12,GR,-1.256510,24.050739
0,brits,block,12,NPHI,0.550362,0.065029
0,brits,block,12,RHOB,-0.577946,0.149020
0,brits,block,12,all,0.416357,6.804128
0,brits,block,13,GR,0.141078,22.967443
0,brits,block,13,NPHI,0.291742,0.055487
0,brits,block,13,RHOB,-0.532877,0.120813
0,brits,block,13,all,0.804460,6.609159
0,brits,block,14,GR,-18.513489,33.242481
0,brits,block,14,NPHI,-5.147000,0.085997
0,brits,block,14,RHOB,-0.755516,0.091311
0,brits,block,14,all,-3.842490,14.644057
0,brits,block,15,GR,-0.174334,14.964487
0,brits,block,15,NPHI,0.430987,0.052385
0,brits,block,15,RHOB,-0.127790,0.061676
0,brits,block,15,all,0.768929,5.529623
0,brits,block,16,GR,,
0,brits,block,16,NPHI,-9.353460,0.077821
0,brits,block,16,RHOB,,
0,brits,block,16,all,-9.353460,0.077821
0,brits,block,17,GR,0.325694,24.762676
0,brits,block,17,NPHI,0.442453,0.052369
0,brits,block,17,RHOB,-0.220883,0.082966
0,brits,block,17,all,0.753192,6.883712
0,brits,block,18,GR,-0.537695,30.803442
0,brits,block,18,NPHI,0.266386,0.086704
0,brits,block,18,RHOB,-0.373559,0.089835
0,brits,block,18,all,0.692962,13.940087
0,brits,profile,0,GR,-0.784854,32.666187
0,brits,profile,0,NPHI,-0.442909,0.066585
0,brits,profile,0,RHOB,-0.194076,0.119208
0,brits,profile,0,all,0.759337,5.844219
0,brits,profile,1,GR,,
0,brits,profile,1,NPHI,,
0,brits,profile,1,RHOB,0.124546,0.074205
