method,scenario,log,n_seeds,mae_mean,mae_std,mae_ci,rmse_mean,rmse_std,rmse_ci,r2_mean,r2_std,r2_ci,cc_mean,cc_std,cc_ci
locf,block,RHOB,5,0.063926332032049,0.004920018613103323,0.004312586459229601,0.10249479132948539,0.009131804303690056,0.008004379390668231,0.5528523793015696,0.0873582915081246,0.07657291865848041,0.773230475843407,0.05005736209524378,0.04387721245236026
mean,block,RHOB,5,0.12472866629647758,0.005530901313481233,0.004848048755004469,0.16039652757014267,0.006672688134158942,0.005848869030169167,-0.08439447422575426,0.0015250836392522082,0.001336794749986356,-0.3945891953467578,0.02804738414266277,0.024584616153345094
mice,block,RHOB,5,0.07331980184011555,0.003184616066368661,0.0027914390586022166,0.10067713766407553,0.004241479022239732,0.003717820284196014,0.5707666169804165,0.04720101982123525,0.04137351805961802,0.7576006588826388,0.02741189698244049,0.024027587097623652
rf,block,RHOB,5,0.07805458005931541,0.0022940875546840944,0.0020108564016950814,0.11119634156690254,0.004026315587291957,0.0035292212180043072,0.4778462648270697,0.0328228778192,0.028770520920193287,0.7251847626035115,0.01751747619794002,0.01535474488854875
saits,block,RHOB,5,0.08272414852757759,0.004019416817528026,0.003523174179688225,0.11452499012877874,0.007324231730320123,0.006419972172527027,0.4469582488481144,0.040162845179037426,0.03520428598012994,0.7174679027790286,0.026967742862009977,0.0236382688457621
stgnn,block,RHOB,5,0.07619649937302772,0.003772576491243639,0.0033068090940174587,0.10491140923754635,0.004883518207854688,0.004280592443391444,0.5358044406977094,0.021873606412810654,0.01917306137403102,0.7401289615942408,0.013012522565705313,0.011405978926141485
unet,block,RHOB,5,0.06844227825061715,0.004871103573174545,0.004269710536303678,0.09603089887972736,0.005645806966551733,0.00494876800070021,0.6085359158991498,0.056697554303159044,0.049697597547300944,0.7948647489160636,0.0258860007491887,0.022690080077592194
xgb,block,RHOB,5,0.07075079147695267,0.002632269246335011,0.0023072857241957915,0.10205694871400214,0.004253957054463221,0.0037287577616806587,0.559834485535778,0.03597984025873113,0.03153772050613772,0.7608797653125385,0.01997083938940492,0.0175052125414364
ae,block,all,5,5.649469788858466,0.7945375029278718,0.6964428279501065,13.419602325633534,0.9058341881544676,0.7939986738542358,0.8112653837204187,0.007856262897865602,0.006886318052384894,0.9018507023835616,0.004551990810474392,0.003989995866988639
brits,block,all,5,8.690776790101477,1.3412517328605746,1.1756589794493282,18.468720660067614,1.4049062183522887,1.231454596049169,0.6426607776670031,0.018657821347352693,0.016354301483133115,0.810314202922158,0.010581512386541096,0.009275104552416272
gnn,block,all,5,7.494572691502109,1.0747708221702654,0.9420781624935721,16.5886319176872,1.0597717810375948,0.928930923270145,0.7104698031202055,0.029650730735349365,0.02599001140665913,0.8553330971351158,0.01141164396192119,0.010002746960481274
locf,block,all,5,4.4728934473885085,0.7114620634204457,0.6236239945903901,12.07418589246544,1.0778946931008322,0.9448163560930158,0.8474525451997119,0.010186216812240377,0.008928612704482513,0.9244494777092036,0.004609264626947576,0.004040198580598876
mean,block,all,5,9.649473676440405,1.310342154272811,1.1485655392491085,20.419650643386245,1.375180783087564,1.2053991032353928,0.5630895864236851,0.013757329256491209,0.012058830775293504,0.7512403363746556,0.008810216473449735,0.007722495228999855
mice,block,all,5,6.599057404337055,0.7617601594870808,0.667712219672364,15.852079561705409,0.47385046318562307,0.4153482439663033,0.735496580723858,0.019359823791445085,0.016969633755794855,0.8580630369767894,0.011335050416358716,0.00993560975767123
rf,block,all,5,8.276317901996551,1.2591608721354273,1.1037031674434725,19.298063404299896,1.575723350043216,1.3811824135766881,0.6102200490679871,0.01829476687551974,0.01603607020754004,0.8031500745203234,0.008541194813242572,0.007486687346899773
saits,block,all,5,5.931474351182755,0.9030890890567179,0.7915924884047195,13.77308880924773,0.9781287188412042,0.857367623980895,0.8010190715795173,0.013474760571090422,0.011811148402056892,0.8972468533431289,0.00772076330451369,0.006767547422134779
stgnn,block,all,5,6.968720378797644,1.2046954774843481,1.0559621440978952,16.132218145854488,1.451020192986273,1.2718752769909305,0.7247981119023743,0.04792770403578861,0.04201048485796962,0.8595829726912928,0.021375020686234137,0.01873603171575442
unet,block,all,5,6.156506271189021,0.8708430693848147,0.7633276059445725,14.74043700291438,0.7944050603119159,0.6963267368786876,0.7716471272242081,0.016859910880541115,0.01477836347480348,0.8805681192970324,0.01011069361873694,0.008862413706618302
xgb,block,all,5,7.44617630317839,1.0768377647756024,0.9438899175686527,17.24606413382852,1.198754710519392,1.0507548322592217,0.6884457681265493,0.008533492039307516,0.007479935567855205,0.8372614599603636,0.0046799966595013585,0.004102197940725853
ae,profile,GR,5,24.733980170132277,0.7274953199186057,0.6376777635511759,33.53247303178583,0.9280277703292478,0.813452206349794,0.07656539341180482,0.03824815079504673,0.03352598235502375,0.4506340806842141,0.022385129726473833,0.019621431327390332
brits,profile,GR,5,30.76766764179083,0.45768324122856313,0.40117704910340457,36.36460842541543,0.7164262090282186,0.6279752600658315,-0.08573478009712363,0.01847200272753716,0.016191424281499167,0.01844687115312213,0.027761548736179694,0.024334070372830297
gnn,profile,GR,5,22.516055250516494,0.9659327834466486,0.8466774152690576,28.869653972141105,0.9461887531276287,0.8293710096433446,0.3150045558824595,0.044971032339622824,0.03941884784925731,0.6418975776182348,0.02091526842065441,0.01833304108684527
locf,profile,GR,5,29.281042973280726,0.40594357911761697,0.3558252356711298,35.355773555350325,0.7073220601626359,0.6199951217354691,-0.02620625986457812,0.004135027612342963,0.0036245115093747056,-0.3313404772115468,0.035319054402626344,0.030958516165752004
mean,profile,GR,5,29.281042973280726,0.40594357911761697,0.3558252356711298,35.355773555350325,0.7073220601626359,0.6199951217354691,-0.02620625986457812,0.004135027612342963,0.0036245115093747056,-0.3313404772115468,0.035319054402626344,0.030958516165752004
mice,profile,GR,5,19.407121276072935,0.9457023912004232,0.8289446946176321,27.21058402553897,1.6327456939608576,1.4311647017732858,0.39110917757976216,0.06321220244018612,0.05540793841218382,0.6275969555448505,0.04820393679484093,0.04225261354689611
rf,profile,GR,5,24.620803185492026,0.721833877438371,0.6327152904184641,33.092546030453114,1.0320893916127085,0.9046662390929476,0.10036062361910747,0.04876988068083565,0.04274868523510567,0.4809326133961089,0.031729350277609605,0.027812001768233664
saits,profile,GR,5,28.527020542632425,0.4775370916527662,0.41857971629554797,34.42127004350727,0.7571392780372307,0.6636618384975336,0.027332851138009318,0.012092329530732134,0.010599394168121713,0.2050122402085764,0.04940166956163558,0.04330247260598536
stgnn,profile,GR,5,21.000253875006543,1.3487609503244322,1.1822410987664778,27.907660029264765,1.2780108862549933,1.120225933319159,0.36031535710550733,0.04291712895796132,0.03761852215765748,0.6506833362945994,0.016404708217296848,0.014379360748170655
unet,profile,GR,5,19.683113706972563,0.8247945353612045,0.7229642862268988,27.030166150752763,1.0803052812580742,0.9469293297752727,0.40027330024140684,0.027402352496324,0.024019220986675076,0.6432055054432,0.022895341952811357,0.020068652062038877
xgb,profile,GR,5,22.05701494628989,0.7987401042718127,0.7001265704467611,29.702856949393983,1.0775444167740327,0.9445093253553838,0.2749610411888582,0.048955850663825885,0.042911695112412,0.5597017989718049,0.035690545729438514,0.03128414267079502
ae,profile,NPHI,5,0.06128190302662969,0.001418228698311166,0.0012431322646094048,0.07891020117418071,0.001754760955302037,0.0015381157938845872,0.40902876542649597,0.03233629024328801,0.02834400810466884,0.6776962955650001,0.016271914636549607,0.01426296204254829
brits,profile,NPHI,5,0.07290848206739516,0.001592711942671813,0.001396073571576849,0.08618877614535439,0.0015231592651768313,0.0013351079617376568,0.295704478398673,0.00734324260178639,0.0064366359360837795,0.7308847756973034,0.021498006725577053,0.018843833732302077
gnn,profile,NPHI,5,0.059690230478867436,0.00211751029152626,0.0018560796063239807,0.07720837299811702,0.0031007494303003347,0.0027179267108793552,0.4342036882658218,0.041619120336039477,0.036480767436170236,0.6797217632707658,0.021750524731595805,0.019065175523686327
locf,profile,NPHI,5,0.08885058033136964,0.0020364245579861276,0.0017850048271411218,0.10530917556602566,0.0020355800916240364,0.0017842646197385056,-0.051354985239364395,0.00475441709331422,0.004167430327102722,-0.30956275921466636,0.040591032860125435,0.035579609030849925
mean,profile,NPHI,5,0.08885058033136964,0.0020364245579861276,0.0017850048271411218,0.10530917556602566,0.0020355800916240364,0.0017842646197385056,-0.051354985239364395,0.00475441709331422,0.004167430327102722,-0.30956275921466636,0.040591032860125435,0.035579609030849925
mice,profile,NPHI,5,0.04590646635868777,0.0010050418040050506,0.0008809579832418508,0.06011709517410345,0.002117040552142534,0.0018556678616000425,0.6563778846392858,0.032358581301583915,0.028363547078751737,0.8114441708835833,0.020058658298641136,0.017582189209335127
rf,profile,NPHI,5,0.04943595739623023,0.000864042798316416,0.0007573669055418215,0.06500959491949433,0.0009267016540078597,0.0008122898141434414,0.5987513453075497,0.02321831766683444,0.020351752757480638,0.7828766360066186,0.012183532848612696,0.010679337400995059
saits,profile,NPHI,5,0.08306940203560867,0.0021176696594829274,0.0018562192984971219,0.09794865930477796,0.002148018453541836,0.0018828211893850593,0.09051903027265826,0.009764216588780445,0.00855871319950132,0.39197324707526376,0.02957238455001014,0.02592133794735018
